'dataset_directory', 'NUM_INPUT', 'NUM_HIDDEN', 'NUM_OUTPUT', 'BATCH_SIZE', 'INPUT_FRAME_TIMESTEP', 'INPUT_SCALE', 'NETWORK_SCALE', 'NUM_EPOCH', 'NUM_FRAMES', 'verbose', 'debug', 'record_all_hidden_spikes', 'lr', 'dt', 'reg_lambda_lower', 'reg_lambda_upper', 'reg_nu_upper', 'recurrent', 'evaluate', 'input_hidden_w_mean', 'input_hidden_w_sd', 'hidden_hidden_w_mean', 'hidden_hidden_w_sd', 'hidden_output_w_mean', 'hidden_output_w_sd', 'aug_combine_images', 'aug_swap_pixels', 'aug_swap_pixels_kSwap', 'aug_swap_pixels_pSwap', 'aug_swap_pixels_tSwap', 'cross_validation', 'cross_validation_run_all', 'sweeping_suffix', 'output_dir', 'model_description', 'accuracy'
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,rawHD_chapter_write_up_cross_validation_single_speaker_5,rawHD,,0.99499,0.26236,15/10/2025 11:25:32
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,1.0,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,False,False,,testing,rawHD,,0.99762,0.99264,30/10/2025 17:05:44
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,testing_cross_validation,rawHD,,0.99902,0.62124,03/11/2025 12:51:28
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,10,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,False,,testing_cross_validation,rawHD,,0.99916,0.56212,03/11/2025 16:37:01
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,1,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,testing_cross_validation,rawHD,,0.70942,0.66032,03/11/2025 16:51:55
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,50,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,testing_cross_validation,rawHD,,0.9848,0.55912,04/11/2025 12:50:48
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,50,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,testing_cross_validation,rawHD,,0.88205,0.46994,04/11/2025 15:27:01
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,50,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,testing_cross_validation_2,rawHD,,0.89186,0.55311,04/11/2025 16:47:34
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,1,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,testing_cross_validation_delete,rawHD,,0.67448,0.92397,06/11/2025 11:02:13
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,1,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,testing_cross_validation_delete,rawHD,,0.69563,0.91968,06/11/2025 11:03:08
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,50,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,testing_cross_validation_delete,rawHD,,0.99985,0.99693,06/11/2025 11:08:35
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,50,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,testing_cross_validation_delete_2,rawHD,,0.8259,0.82158,06/11/2025 17:09:22
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,50,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,testing_cross_validation_delete_2,rawHD,,0.82881,0.82219,07/11/2025 12:36:10
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,20,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,testing_cross_validation_delete_3,rawHD,,0.99739,0.98958,08/11/2025 22:59:38
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,20,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,testing_cross_validation_delete_4,rawHD,,0.19264,0.19559,09/11/2025 20:15:14
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,20,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,testing_cross_validation_delete_4,rawHD,,0.99969,0.99816,10/11/2025 15:13:43
/raw-spiking-heidleberg-digits-80input/,80,512,20,32,20,1,1,20,80,True,False,False,0.01,0.975,1,1,1e-10,1e-10,10,True,False,0.0,3.5,0.0,0.02,3.0,1.5,False,False,1,0.2,0.1,True,True,,testing_cross_validation_delete_4,rawHD,,0.99755,0.99203,10/11/2025 18:13:15
